"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
526964;2023-04-21;"sexta-feira";"23:15:00";"RR";401;106;"BONFIM";"Ingestão de álcool pelo condutor";"Capotamento";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Rotatória";"Não";2;0;0;0;2;0;0;1;3,3051065;-59,9522815;"SPRF-RR";"DEL01-RR";"UOP01-DEL01-RR"
526965;2023-06-02;"sexta-feira";"19:45:00";"RS";386;250,8;"SOLEDADE";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta;Declive";"Não";3;0;1;1;1;0;2;2;-28,82995023;-52,46131539;"SPRF-RS";"DEL04-RS";"UOP03-DEL04-RS"
526967;2023-06-02;"sexta-feira";"20:40:00";"CE";116;19,2;"ITAITINGA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-3,91941181;-38,50755567;"SPRF-CE";"DEL01-CE";"UOP02-DEL01-CE"
526969;2023-06-02;"sexta-feira";"19:19:00";"SP";116;149,4;"SAO JOSE DOS CAMPOS";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Múltipla";"Aclive";"Não";2;0;1;0;1;0;1;2;-23,20700047;-45,88626861;"SPRF-SP";"DEL02-SP";"UOP01-DEL02-SP"
526970;2023-06-02;"sexta-feira";"19:30:00";"SP";116;148,7;"SAO JOSE DOS CAMPOS";"Ausência de reação do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-23,20067421;-45,8795018;"SPRF-SP";"DEL02-SP";"UOP01-DEL02-SP"
526971;2023-05-15;"segunda-feira";"13:45:00";"MG";365;637;"UBERLANDIA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Não";3;0;3;0;0;0;3;1;-18,889801;-48,43735;"SPRF-MG";"DEL15-MG";"UOP01-DEL15-MG"
526972;2023-06-02;"sexta-feira";"19:40:00";"MG";262;12,8;"MARTINS SOARES";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;1;0;1;1;-20,25303293;-41,85361008;"SPRF-MG";"DEL06-MG";"UOP03-DEL06-MG"
526973;2023-06-02;"sexta-feira";"20:10:00";"MT";70;500;"CUIABA";"Conversão proibida";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-15,68832445;-56,01888478;"SPRF-MT";"DEL01-MT";"UOP02-DEL01-MT"
526974;2023-06-02;"sexta-feira";"20:55:00";"PE";232;13,2;"JABOATAO DOS GUARARAPES";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-8,088133;-35,009964;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
526975;2023-06-02;"sexta-feira";"21:00:00";"PR";116;142;"MANDIRITUBA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;0;1;1;2;-25,746524;-49,31741923;"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
